"Salary"	"Dept"
139.4	"BM"
151.6	"BM"
154.8	"BM"
123.3	"BM"
124.3	"BM"
149.4	"BM"
128.3	"BM"
121.1	"BM"
144.9	"BM"
133.6	"BM"
125.1	"BM"
127.3	"BM"
133.3	"BM"
136.3	"BM"
143.9	"BM"
126	"BM"
139.9	"BM"
132.3	"BM"
132.7	"BM"
136.2	"BM"
149.3	"BM"
151	"BM"
137.7	"BM"
153.3	"BM"
127.8	"BM"
175.4	"BM"
154.5	"BM"
155	"BM"
126.9	"BM"
139.3	"BM"
129	"BM"
139.4	"CH"
128.6	"CH"
135.5	"CH"
128	"CH"
113.4	"CH"
141.7	"CH"
156.7	"CH"
137.6	"CH"
149.3	"CH"
125.4	"CH"
135.5	"CH"
140.4	"CH"
134.3	"CH"
138.3	"CH"
155	"CH"
115.5	"CH"
131.6	"CH"
132.3	"CH"
117.4	"CH"
143.2	"CH"
139.1	"CH"
138.1	"CH"
136.9	"CH"
126	"CH"
136.7	"CH"
115.4	"CH"
122.8	"CH"
126.6	"CH"
137.8	"CH"
113.4	"CH"
109.8	"CH"
119.5	"CH"
151.9	"CH"
136.4	"CH"
123.3	"CH"
128.9	"CV"
119.7	"CV"
142.7	"CV"
111.2	"CV"
102.5	"CV"
137.2	"CV"
134.9	"CV"
139.7	"CV"
102	"CV"
124.3	"CV"
124.1	"CV"
125.3	"CV"
125.5	"CV"
130.5	"CV"
101.6	"CV"
110.9	"CV"
120.6	"CV"
132.8	"CV"
100	"CV"
132.9	"CV"
126.5	"CV"
100.9	"CV"
119.7	"CV"
132	"CV"
113.6	"CV"
112.3	"CV"
114.4	"CV"
122.3	"CV"
120	"CV"
114.9	"CV"
126.5	"CV"
109.7	"CV"
128.5	"CV"
106.9	"CV"
100	"CV"
122.2	"CV"
96.9	"CV"
129.1	"CV"
112.7	"CV"
148.1	"CV"
122.5	"CV"
108.8	"CV"
104.7	"CV"
131	"CV"
109.5	"CV"
122.6	"CV"
78.4	"CV"
105.2	"CV"
113.6	"CV"
141	"CV"
132.7	"CV"
120.7	"CV"
120.6	"CV"
106.3	"CV"
132	"CV"
78.6	"CV"
101.2	"CV"
98.7	"CV"
119.8	"CV"
133.5	"CV"
102.3	"CV"
114.5	"CV"
131.1	"CV"
106.2	"CV"
84.2	"CV"
127.3	"CV"
146.8	"CV"
119.9	"CS"
145.6	"CS"
114	"CS"
118.8	"CS"
103.2	"CS"
77.8	"CS"
142.6	"CS"
91.2	"CS"
113.7	"CS"
108	"CS"
56.5	"CS"
136	"CS"
127.7	"CS"
117.2	"CS"
150.3	"CS"
101.5	"CS"
115.6	"CS"
89.2	"CS"
138	"CS"
97.8	"CS"
114.6	"CS"
130.4	"CS"
101.9	"CS"
114.5	"CS"
145.7	"CS"
136.4	"CS"
69.9	"CS"
95	"CS"
92	"CS"
94.6	"CS"
119	"CS"
127.3	"CS"
135.6	"CS"
143.8	"CS"
124.3	"CS"
105	"CS"
122.4	"CS"
143.1	"CS"
147.8	"CS"
123.1	"CS"
133.7	"CS"
116.9	"CS"
92.7	"EE"
107.1	"EE"
125.2	"EE"
117.4	"EE"
105.8	"EE"
109.6	"EE"
116.4	"EE"
121.7	"EE"
120	"EE"
144.6	"EE"
127.1	"EE"
98	"EE"
95.8	"EE"
136.6	"EE"
112	"EE"
122.8	"EE"
105.7	"EE"
124.7	"EE"
126.5	"EE"
126.6	"EE"
117.7	"EE"
105.7	"EE"
96.4	"EE"
119	"EE"
102	"EE"
123.5	"EE"
109.4	"EE"
119.4	"EE"
127	"EE"
105.2	"IN"
108.6	"IN"
115.6	"IN"
92	"IN"
139.2	"IN"
108.6	"IN"
124.5	"IN"
131.2	"IN"
111.3	"IN"
96.5	"IN"
140.1	"IN"
112.3	"IN"
107.3	"IN"
115.3	"IN"
85.4	"IN"
87.4	"IN"
91	"IN"
124	"IN"
115.4	"IN"
82.1	"IN"
97.1	"IN"
93	"IN"
115.7	"IN"
123.2	"IN"
122.4	"IN"
121.3	"IN"
106.6	"IN"
110.7	"IN"
117.6	"IN"
115.4	"IN"
107.5	"IN"
133	"IN"
121.6	"IN"
102.2	"IN"
109.4	"IN"
107.5	"IN"
134.1	"IN"
132.2	"IN"
106.2	"IN"
125.6	"IN"
74.8	"MS"
126.7	"MS"
120.8	"MS"
133.7	"MS"
99.4	"MS"
120.7	"MS"
127.4	"MS"
96	"MS"
126	"MS"
107.1	"MS"
155.9	"MS"
123	"MS"
117.6	"MS"
154.1	"MS"
126.8	"MS"
130.4	"MS"
146.9	"MS"
160.5	"MS"
129.9	"MS"
115.5	"MS"
119.2	"MS"
100.4	"MS"
106.3	"MS"
114.7	"MS"
88.1	"MC"
104.3	"MC"
141.8	"MC"
125.1	"MC"
113	"MC"
101.3	"MC"
103.1	"MC"
127.4	"MC"
100.4	"MC"
109.7	"MC"
101.4	"MC"
130.9	"MC"
119	"MC"
122.3	"MC"
118.6	"MC"
101.5	"MC"
120.5	"MC"
103.5	"MC"
111.2	"MC"
100.6	"MC"
78.2	"MC"
96.3	"MC"
102.6	"MC"
84.6	"MC"
96.2	"MC"
83.6	"MC"
112.2	"MC"
134.5	"MC"
94	"MC"
